,,,,,,,,
#NAME?,类别,器件名称,推荐型号/规格,单价(元),数量/人,小计(元),备注,
1,机械结构,弹性体,6061铝合金片×2，联系客服中心打孔,5,2,10,打孔装螺丝螺母,
2,机械结构,紧固件套件,螺丝螺母，大小与弹性体孔口一致,5,1套,5,平台与弹性体固定,
3,应变传感,应变片,"BF350-3AA, 350Ω,",3,20,60,用于练习、备用,
4,应变传感,应变片胶粘剂,H-610环氧胶或专用贴片胶,15,1支,15,含固化剂,
5,应变传感,清洗剂,无水乙醇或丙酮,8,1瓶,8,表面处理脱脂,
6,应变传感,砂纸套装,400#-800#-1200#,5,1套,5,表面打磨逐级,
7,应变传感,定位胶带,透明胶带或专用定位膜,3,1卷,3,贴片定位用,
8,应变传感,引线/过渡片,0.15mm漆包线+铜过渡片,5,1套,5,桥路引线焊接,
9,应变传感,保护胶,硅胶或聚酰亚胺胶带,5,1支,5,应变片防护层,
10,模拟前端,仪表放大器,AD620ANZ 或 INA128PA,15,2,30,1片主用+1片备用,
11,模拟前端,精密运放,OP07CP 或 TL071,3,2,6,缓冲/跟随器,
12,模拟前端,精密电压基准,TL431 或 ADR4540,5,1,5,桥路激励/ADC参考,
13,模拟前端,LDO稳压器,AMS1117-5.0 + AMS1117-3.3,3,各1,6,5V桥压+3.3V数字,
14,模拟前端,电阻套件,"1%精度金属膜电阻, 多阻值",6,1套,6,1Ω-1MΩ常用值,
15,模拟前端,电容套件,陶瓷+电解电容,8,1套,8,去耦+滤波用,
16,模拟前端,电位器,10kΩ多圈精密电位器,3,2,6,零点/增益微调,
17,信号调理,RC滤波器件,10kΩ电阻+10μF电容/电阻电容套件,—,—,—,"一阶低通, fc≈1.6Hz",
18,采集嵌入式,STM32开发板,STM32F103开发板,2/3/400,1,300,正常32板,
19,采集嵌入式,外置ADC模块(可选),ADS1232/ADS1256 24位,15,1,15,追求M1/M2建议配,
20,采集嵌入式,USB转TTL模块,CH340G模块,8,1,8,串口通信,
21,采集嵌入式,显示屏,OLED/LCD,12,1,12,本地显示重量,
22,电源连接,DC电源模块,5V/2A USB供电或电池盒,10,1,10,可用手机充电器替代,
23,PCB焊接,PCB板,未焊接前的收音机电路板及元器件,10,2,20,可用作焊接练习,
24,PCB焊接,热缩管,多规格套装,5,1套,5,引线绝缘保护,
25,测试标定,标准砝码套装, 1g-500g组合,15,1套,15,,
26,测试标定,万用表,数字万用表(可选),30,1,30,远程学员购买,
27,工具耗材,电烙铁套件,电烙铁、烙铁架、松香、镊子、焊锡丝、海绵、钳子、吸锡笔,25,1,25,远程学员购买，可配套购买,
28,工具耗材,洞洞板,绿/黄漆单双面万用电路板,5,1,5,用作模拟前端元器件焊接设计,
29,工具耗材,导线,双头镀锡焊接线,3,1捆,3,连接引脚,
,,,,,,,,
,,,,,,,,
