elapsed_s,value,temp,kind
0.033,5543982,32.1,raw
0.230,5544211,32.1,raw
0.302,5544423,32.1,raw
0.496,5544616,32.1,raw
0.565,5544798,32.1,raw
0.760,5544970,32.1,raw
0.830,5545134,32.1,raw
1.024,5545288,32.1,raw
1.096,5545433,32.2,raw
1.292,5545571,32.2,raw
1.362,5545705,32.2,raw
1.556,5545839,32.2,raw
1.626,5545969,32.2,raw
1.820,5546096,32.2,raw
1.890,5546222,32.2,raw
2.087,5546348,32.1,raw
2.159,5546472,32.1,raw
2.353,5546589,32.1,raw
2.422,5546701,32.1,raw
2.616,5546809,32.1,raw
2.686,5546915,32.1,raw
2.880,5547016,32.1,raw
2.953,5547111,32.1,raw
3.149,5547204,32.1,raw
3.219,5547294,32.1,raw
3.412,5547382,32.1,raw
3.483,5547467,32.1,raw
3.677,5547549,32.1,raw
3.747,5547628,32.1,raw
3.943,5547703,32.1,raw
4.015,5547776,32.1,raw
4.210,5547849,32.1,raw
4.280,5547922,32.1,raw
4.474,5548001,32.1,raw
4.543,5548086,32.1,raw
4.736,5548175,32.1,raw
4.810,5548264,32.1,raw
5.006,5548354,32.1,raw
5.076,5548446,32.1,raw
5.270,5548537,32.1,raw
5.340,5548630,32.1,raw
5.533,5548724,32.1,raw
5.603,5548817,32.1,raw
5.800,5548903,32.2,raw
5.872,5548983,32.2,raw
6.066,5549058,32.2,raw
6.136,5549127,32.2,raw
6.330,5549192,32.2,raw
6.400,5549255,32.2,raw
6.594,5549315,32.2,raw
6.667,5549373,32.1,raw
6.863,5549430,32.1,raw
6.932,5549485,32.1,raw
7.127,5549540,32.1,raw
7.197,5549595,32.1,raw
7.391,5549648,32.1,raw
7.461,5549701,32.1,raw
7.657,5549755,32.1,raw
7.729,5549810,32.1,raw
7.923,5549866,32.1,raw
7.993,5549922,32.1,raw
8.187,5549978,32.1,raw
8.257,5550034,32.1,raw
8.451,5550089,32.1,raw
8.524,5550143,32.1,raw
8.719,5550193,32.1,raw
8.790,5550240,32.1,raw
8.984,5550284,32.1,raw
9.053,5550327,32.1,raw
9.248,5550365,32.1,raw
9.317,5550398,32.1,raw
9.514,5550429,32.2,raw
9.586,5550456,32.2,raw
9.780,5550484,32.2,raw
9.850,5550515,32.2,raw
10.044,5550549,32.2,raw
10.114,5550585,32.2,raw
10.308,5550622,32.2,raw
10.381,5550662,32.2,raw
10.577,5550704,32.2,raw
10.646,5550744,32.2,raw
10.840,5550785,32.2,raw
10.910,5550826,32.2,raw
11.104,5550867,32.2,raw
11.174,5550907,32.2,raw
11.372,5550948,32.2,raw
11.443,5550988,32.2,raw
11.636,5551029,32.2,raw
11.707,5551068,32.2,raw
11.901,5551104,32.2,raw
11.970,5551133,32.2,raw
12.165,5551156,32.2,raw
12.238,5551175,32.2,raw
12.434,5551196,32.2,raw
12.504,5551221,32.2,raw
12.697,5551248,32.2,raw
12.767,5551277,32.2,raw
12.961,5551307,32.2,raw
13.031,5551338,32.2,raw
13.228,5551370,32.1,raw
13.300,5551404,32.1,raw
13.494,5551443,32.1,raw
13.564,5551486,32.1,raw
13.758,5551532,32.1,raw
13.827,5551579,32.1,raw
14.021,5551624,32.1,raw
14.094,5551661,32.2,raw
14.290,5551692,32.2,raw
14.360,5551720,32.2,raw
14.554,5551746,32.2,raw
14.624,5551768,32.2,raw
14.818,5551788,32.2,raw
14.888,5551810,32.2,raw
15.085,5551831,32.2,raw
15.157,5551853,32.2,raw
15.351,5551877,32.2,raw
15.421,5551903,32.2,raw
15.615,5551930,32.2,raw
15.684,5551957,32.2,raw
15.878,5551984,32.2,raw
15.952,5552009,32.2,raw
16.147,5552033,32.2,raw
16.217,5552062,32.2,raw
16.411,5552094,32.2,raw
16.481,5552129,32.2,raw
16.674,5552159,32.2,raw
16.745,5552185,32.2,raw
16.942,5552208,32.2,raw
17.014,5552229,32.2,raw
17.207,5552247,32.2,raw
17.278,5552264,32.2,raw
17.471,5552280,32.2,raw
17.541,5552295,32.2,raw
17.735,5552306,32.2,raw
17.808,5552315,32.2,raw
18.004,5552324,32.2,raw
18.073,5552334,32.2,raw
18.268,5552343,32.2,raw
18.337,5552356,32.2,raw
18.532,5552373,32.2,raw
18.601,5552389,32.2,raw
18.798,5552405,32.2,raw
18.870,5552421,32.2,raw
19.064,5552436,32.2,raw
19.135,5552446,32.2,raw
19.328,5552455,32.2,raw
19.398,5552461,32.2,raw
19.591,5552465,32.2,raw
19.665,5552467,32.2,raw
19.860,5552468,32.2,raw
19.931,5552469,32.2,raw
20.124,5552469,32.2,raw
20.194,5552471,32.2,raw
20.388,5552474,32.2,raw
20.459,5552477,32.2,raw
20.655,5552480,32.2,raw
20.727,5552483,32.2,raw
20.921,5552488,32.2,raw
20.991,5552492,32.2,raw
21.185,5552497,32.2,raw
21.255,5552502,32.2,raw
21.449,5552507,32.2,raw
21.522,5552512,32.2,raw
21.718,5552516,32.2,raw
21.787,5552519,32.2,raw
21.981,5552522,32.2,raw
22.051,5552525,32.2,raw
22.245,5552527,32.2,raw
22.315,5552527,32.2,raw
22.513,5552527,32.2,raw
22.584,5552528,32.2,raw
22.778,5552528,32.2,raw
22.848,5552528,32.2,raw
23.042,5552529,32.2,raw
23.112,5552531,32.2,raw
23.305,5552533,32.2,raw
23.379,5552537,32.2,raw
23.574,5552544,32.2,raw
23.644,5552552,32.2,raw
23.838,5552558,32.2,raw
23.908,5552565,32.2,raw
24.102,5552569,32.2,raw
24.172,5552572,32.2,raw
24.369,5552573,32.2,raw
24.441,5552573,32.2,raw
24.635,5552572,32.2,raw
24.705,5552571,32.2,raw
24.899,5552569,32.2,raw
24.969,5552567,32.2,raw
25.163,5552565,32.2,raw
25.236,5552565,32.2,raw
25.432,5552565,32.2,raw
25.501,5552565,32.2,raw
25.695,5552565,32.2,raw
25.765,5552565,32.2,raw
25.959,5552566,32.2,raw
26.029,5552566,32.2,raw
26.226,5552566,32.2,raw
26.298,5552566,32.2,raw
26.492,5552564,32.2,raw
26.561,5552560,32.2,raw
26.756,5552554,32.2,raw
26.826,5552545,32.2,raw
27.019,5552537,32.2,raw
27.092,5552529,32.2,raw
27.288,5552521,32.2,raw
27.358,5552515,32.2,raw
27.553,5552510,32.2,raw
27.622,5552505,32.2,raw
27.816,5552499,32.2,raw
27.885,5552494,32.2,raw
28.083,5552490,32.2,raw
28.155,5552483,32.2,raw
28.348,5552479,32.2,raw
28.419,5552476,32.2,raw
28.613,5552474,32.2,raw
28.682,5552473,32.2,raw
28.876,5552473,32.2,raw
28.949,5552474,32.2,raw
29.145,5552477,32.2,raw
29.215,5552481,32.2,raw
29.409,5552487,32.2,raw
29.479,5552494,32.2,raw
29.673,5552501,32.2,raw
29.743,5552507,32.2,raw
29.940,5552515,32.2,raw
30.011,5552524,32.2,raw
30.205,5552533,32.2,raw
30.276,5552540,32.2,raw
30.469,5552545,32.2,raw
30.540,5552549,32.2,raw
30.733,5552554,32.2,raw
30.806,5552561,32.2,raw
31.002,5552569,32.2,raw
31.072,5552578,32.2,raw
31.266,5552586,32.2,raw
31.336,5552594,32.2,raw
31.530,5552601,32.2,raw
31.600,5552607,32.2,raw
31.797,5552612,32.2,raw
31.868,5552618,32.2,raw
32.062,5552622,32.2,raw
32.132,5552625,32.2,raw
32.326,5552629,32.2,raw
32.396,5552634,32.2,raw
32.590,5552638,32.2,raw
32.663,5552643,32.3,raw
32.859,5552650,32.3,raw
32.929,5552659,32.3,raw
33.123,5552669,32.3,raw
33.193,5552681,32.3,raw
33.386,5552692,32.3,raw
33.457,5552701,32.3,raw
33.654,5552707,32.3,raw
33.725,5552712,32.3,raw
33.919,5552716,32.3,raw
33.989,5552719,32.3,raw
34.183,5552722,32.3,raw
34.253,5552724,32.3,raw
34.447,5552726,32.3,raw
34.520,5552731,32.3,raw
34.715,5552742,32.3,raw
34.785,5552759,32.3,raw
34.979,5552780,32.3,raw
35.050,5552803,32.3,raw
35.244,5552828,32.3,raw
35.314,5552852,32.3,raw
35.510,5552876,32.3,raw
35.582,5552901,32.3,raw
35.776,5552929,32.3,raw
35.846,5552959,32.3,raw
36.040,5552990,32.3,raw
36.110,5553021,32.3,raw
36.304,5553055,32.3,raw
36.376,5553091,32.2,raw
36.573,5553129,32.2,raw
36.642,5553169,32.2,raw
36.837,5553210,32.2,raw
36.906,5553251,32.2,raw
37.101,5553292,32.2,raw
37.170,5553334,32.2,raw
37.367,5553377,32.3,raw
37.439,5553419,32.3,raw
37.633,5553462,32.3,raw
37.703,5553504,32.3,raw
37.897,5553547,32.3,raw
37.967,5553589,32.3,raw
38.160,5553630,32.3,raw
38.233,5553671,32.3,raw
38.429,5553713,32.3,raw
38.500,5553755,32.3,raw
38.693,5553797,32.3,raw
38.763,5553838,32.3,raw
38.957,5553874,32.3,raw
39.027,5553905,32.3,raw
39.224,5553932,32.3,raw
39.296,5553954,32.3,raw
39.490,5553975,32.3,raw
39.560,5553996,32.3,raw
39.754,5554016,32.3,raw
39.823,5554035,32.3,raw
40.017,5554050,32.3,raw
40.090,5554063,32.3,raw
40.286,5554075,32.3,raw
40.356,5554086,32.3,raw
40.550,5554096,32.3,raw
40.620,5554106,32.3,raw
40.814,5554115,32.3,raw
40.884,5554123,32.3,raw
41.081,5554127,32.3,raw
41.153,5554124,32.3,raw
41.346,5554113,32.3,raw
41.416,5554096,32.3,raw
41.611,5554078,32.3,raw
41.681,5554062,32.3,raw
41.875,5554048,32.3,raw
41.948,5554036,32.3,raw
42.143,5554030,32.3,raw
42.213,5554028,32.3,raw
42.407,5554025,32.3,raw
42.477,5554021,32.3,raw
42.671,5554015,32.3,raw
42.741,5554008,32.3,raw
42.938,5554002,32.3,raw
43.010,5553996,32.3,raw
43.204,5553993,32.3,raw
43.274,5553990,32.3,raw
43.467,5553988,32.3,raw
43.538,5553988,32.3,raw
43.731,5553987,32.3,raw
43.804,5553986,32.3,raw
44.000,5553986,32.3,raw
44.070,5553988,32.3,raw
44.264,5553990,32.3,raw
44.334,5553994,32.3,raw
44.527,5554001,32.3,raw
44.598,5554010,32.3,raw
44.794,5554020,32.2,raw
44.867,5554030,32.2,raw
45.060,5554039,32.2,raw
45.131,5554047,32.2,raw
45.324,5554054,32.2,raw
45.394,5554062,32.2,raw
45.588,5554071,32.2,raw
45.661,5554081,32.3,raw
45.857,5554093,32.3,raw
45.927,5554105,32.3,raw
46.120,5554116,32.3,raw
46.191,5554128,32.3,raw
46.385,5554136,32.3,raw
46.454,5554142,32.3,raw
46.651,5554149,32.3,raw
46.723,5554157,32.3,raw
46.917,5554166,32.3,raw
46.987,5554174,32.3,raw
47.181,5554181,32.3,raw
47.251,5554188,32.3,raw
47.445,5554194,32.3,raw
47.518,5554200,32.3,raw
47.714,5554206,32.3,raw
47.784,5554212,32.3,raw
47.978,5554219,32.3,raw
48.048,5554226,32.3,raw
48.241,5554232,32.3,raw
48.311,5554237,32.3,raw
48.509,5554239,32.3,raw
48.581,5554239,32.3,raw
48.774,5554237,32.3,raw
48.843,5554232,32.3,raw
49.037,5554226,32.3,raw
49.108,5554220,32.3,raw
49.302,5554215,32.3,raw
49.375,5554213,32.3,raw
49.571,5554215,32.3,raw
49.641,5554224,32.3,raw
49.835,5554239,32.3,raw
49.905,5554257,32.3,raw
50.098,5554272,32.3,raw
50.168,5554284,32.3,raw
50.366,5554293,32.3,raw
50.437,5554300,32.3,raw
50.631,5554304,32.3,raw
50.701,5554306,32.3,raw
50.895,5554307,32.3,raw
50.965,5554307,32.3,raw
51.158,5554306,32.3,raw
51.231,5554304,32.3,raw
51.427,5554301,32.3,raw
51.498,5554298,32.3,raw
51.691,5554295,32.3,raw
51.761,5554292,32.3,raw
51.955,5554287,32.3,raw
52.025,5554281,32.3,raw
52.222,5554276,32.3,raw
52.294,5554270,32.3,raw
52.488,5554263,32.3,raw
52.558,5554256,32.3,raw
52.751,5554255,32.3,raw
52.822,5554255,32.3,raw
53.016,5554257,32.3,raw
53.089,5554260,32.3,raw
53.285,5554264,32.3,raw
53.354,5554267,32.3,raw
53.548,5554269,32.3,raw
53.618,5554269,32.3,raw
53.812,5554267,32.3,raw
53.881,5554264,32.3,raw
54.079,5554258,32.3,raw
54.151,5554251,32.3,raw
54.345,5554244,32.3,raw
54.415,5554238,32.3,raw
54.609,5554231,32.3,raw
54.679,5554224,32.3,raw
54.872,5554219,32.3,raw
54.945,5554215,32.3,raw
55.141,5554211,32.3,raw
55.211,5554207,32.3,raw
55.405,5554205,32.3,raw
55.475,5554204,32.3,raw
55.669,5554204,32.3,raw
55.739,5554204,32.3,raw
55.936,5554204,32.3,raw
56.008,5554204,32.3,raw
56.201,5554207,32.3,raw
56.271,5554213,32.3,raw
56.465,5554219,32.3,raw
56.535,5554226,32.3,raw
56.729,5554234,32.3,raw
56.802,5554241,32.3,raw
56.998,5554245,32.3,raw
57.068,5554246,32.3,raw
57.262,5554245,32.3,raw
57.332,5554241,32.3,raw
57.526,5554237,32.3,raw
57.596,5554233,32.3,raw
57.793,5554229,32.3,raw
57.864,5554225,32.3,raw
58.058,5554222,32.3,raw
58.128,5554220,32.3,raw
58.322,5554219,32.3,raw
58.392,5554219,32.3,raw
58.586,5554221,32.3,raw
58.659,5554223,32.3,raw
58.856,5554223,32.3,raw
58.925,5554219,32.3,raw
59.118,5554212,32.3,raw
59.189,5554203,32.3,raw
59.383,5554193,32.3,raw
59.452,5554182,32.3,raw
59.649,5554171,32.3,raw
59.722,5554160,32.3,raw
59.916,5554153,32.3,raw
59.985,5554148,32.3,raw
60.179,5554147,32.3,raw
60.249,5554147,32.3,raw
60.443,5554148,32.3,raw
60.516,5554147,32.3,raw
60.712,5554144,32.3,raw
60.782,5554139,32.3,raw
60.976,5554132,32.3,raw
61.045,5554128,32.3,raw
61.240,5554126,32.3,raw
61.310,5554124,32.3,raw
61.506,5554124,32.3,raw
61.578,5554124,32.3,raw
61.772,5554123,32.3,raw
61.842,5554122,32.3,raw
62.036,5554120,32.3,raw
62.106,5554118,32.3,raw
62.300,5554115,32.3,raw
62.373,5554112,32.3,raw
62.568,5554108,32.3,raw
62.638,5554102,32.3,raw
62.833,5554095,32.3,raw
62.902,5554087,32.3,raw
63.096,5554083,32.3,raw
63.166,5554083,32.3,raw
63.364,5554083,32.3,raw
63.435,5554083,32.3,raw
63.629,5554083,32.3,raw
63.699,5554083,32.3,raw
63.893,5554084,32.3,raw
63.963,5554084,32.3,raw
64.156,5554083,32.3,raw
64.230,5554080,32.3,raw
64.426,5554075,32.3,raw
64.496,5554069,32.3,raw
64.690,5554064,32.3,raw
64.760,5554060,32.3,raw
64.953,5554057,32.3,raw
65.023,5554058,32.3,raw
65.220,5554059,32.3,raw
65.292,5554058,32.3,raw
65.486,5554057,32.3,raw
65.555,5554057,32.3,raw
65.750,5554057,32.3,raw
65.820,5554057,32.3,raw
66.014,5554057,32.3,raw
66.087,5554057,32.3,raw
66.283,5554057,32.3,raw
66.352,5554057,32.3,raw
66.546,5554057,32.3,raw
66.616,5554058,32.3,raw
66.810,5554061,32.3,raw
66.880,5554064,32.3,raw
67.076,5554067,32.3,raw
67.149,5554067,32.3,raw
67.343,5554066,32.3,raw
67.413,5554065,32.3,raw
67.606,5554065,32.3,raw
67.676,5554068,32.3,raw
67.870,5554074,32.3,raw
67.943,5554082,32.3,raw
68.139,5554091,32.3,raw
68.209,5554099,32.3,raw
68.403,5554105,32.3,raw
68.473,5554110,32.3,raw
68.667,5554114,32.3,raw
68.737,5554117,32.3,raw
68.934,5554117,32.3,raw
69.006,5554117,32.3,raw
69.200,5554117,32.3,raw
69.270,5554114,32.3,raw
69.463,5554112,32.3,raw
69.534,5554110,32.3,raw
69.727,5554106,32.3,raw
69.800,5554101,32.3,raw
69.996,5554095,32.3,raw
70.066,5554089,32.3,raw
70.260,5554083,32.3,raw
70.330,5554080,32.3,raw
70.524,5554078,32.3,raw
70.594,5554078,32.3,raw
70.791,5554078,32.3,raw
70.863,5554078,32.3,raw
71.056,5554078,32.3,raw
71.126,5554077,32.3,raw
71.320,5554076,32.3,raw
71.391,5554076,32.3,raw
71.584,5554078,32.3,raw
71.657,5554079,32.4,raw
71.853,5554079,32.4,raw
71.923,5554078,32.4,raw
72.117,5554075,32.4,raw
72.187,5554071,32.4,raw
72.381,5554067,32.4,raw
72.451,5554065,32.4,raw
72.648,5554065,32.3,raw
72.720,5554065,32.3,raw
72.914,5554065,32.3,raw
72.983,5554065,32.3,raw
73.177,5554066,32.3,raw
73.247,5554067,32.3,raw
73.441,5554070,32.3,raw
73.515,5554074,32.3,raw
73.710,5554078,32.3,raw
73.780,5554082,32.3,raw
73.974,5554087,32.3,raw
74.044,5554092,32.3,raw
74.238,5554097,32.3,raw
74.307,5554103,32.3,raw
74.505,5554110,32.3,raw
74.576,5554115,32.3,raw
74.770,5554119,32.3,raw
74.840,5554122,32.3,raw
75.034,5554125,32.3,raw
75.104,5554127,32.3,raw
75.298,5554129,32.3,raw
75.371,5554132,32.4,raw
75.567,5554135,32.4,raw
75.637,5554137,32.4,raw
75.831,5554138,32.4,raw
75.900,5554140,32.4,raw
76.094,5554146,32.4,raw
76.163,5554151,32.4,raw
76.362,5554157,32.4,raw
76.433,5554163,32.4,raw
76.627,5554167,32.4,raw
76.697,5554169,32.4,raw
76.891,5554170,32.4,raw
76.961,5554171,32.4,raw
77.155,5554173,32.4,raw
77.228,5554178,32.4,raw
77.424,5554186,32.4,raw
77.493,5554197,32.4,raw
77.688,5554209,32.4,raw
77.757,5554222,32.4,raw
77.951,5554234,32.4,raw
78.022,5554244,32.4,raw
78.218,5554253,32.3,raw
78.290,5554259,32.3,raw
78.484,5554264,32.3,raw
78.554,5554265,32.3,raw
78.748,5554265,32.3,raw
78.817,5554265,32.3,raw
79.011,5554265,32.3,raw
79.085,5554265,32.4,raw
79.281,5554265,32.4,raw
79.351,5554264,32.4,raw
79.543,5554264,32.4,raw
79.614,5554264,32.4,raw
79.808,5554265,32.4,raw
